versionId,version,doneBy,document,createdOn,status
1,TR1@19092025,68,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-23 13:23:37,0
2,TR1@19092025,68,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-24 06:05:18,1
3,dev,15,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-24 15:04:50,1
4,dev1,15,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-24 15:10:39,1
5,dev2,15,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-24 15:19:32,1
6,dev3,15,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-09-24 15:43:30,1
7,dev4,15,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr2_firmware.bin,2025-09-24 15:49:46,1
8,dev5,15,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-09-24 15:51:19,1
9,USIM Testing,2,https://s-tracker-file-storage-dev.s3.ap-southeast-1.amazonaws.com/firmware/firmware.bin,2025-09-29 09:36:37,1
11,TR1@29092025,68,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-10-06 09:36:41,1
12,TR1@02102025,68,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-10-06 09:51:28,1
13,APL Testing Version.,18,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-10-07 05:52:08,1
14,1310,18,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2025-10-15 10:26:50,1
15,1.3.2.1,18,https://s-tracker-firmware.s3.ap-southeast-1.amazonaws.com/tr1_firmware.bin,2026-03-31 09:51:29,1
