wifiActivityId,wifiId,doneBy,notes,updatedFields,createdOn,status
136,5,15,,"[""Wifi Beacon Created""]",2025-09-16 13:04:42,1
137,6,15,,"[""Wifi Beacon Created""]",2025-09-16 18:38:22,1
138,7,68,,"[""Wifi Beacon Created""]",2025-09-18 06:42:06,1
139,8,68,,"[""Wifi Beacon Created""]",2025-09-18 06:43:27,1
140,9,68,,"[""Wifi Beacon Created""]",2025-09-18 06:44:34,1
141,6,68,test changes,"[""Wifi Beacon Name"",""Warranty Duration""]",2025-09-19 04:17:12,1
142,6,68,test,"[""Wifi Beacon Name""]",2025-09-22 07:34:46,1
143,10,68,,"[""Wifi Beacon Created""]",2025-09-22 07:37:46,1
144,9,68,test,"[""Wifi Beacon Name""]",2025-09-22 07:45:47,1
145,9,68,test done,"[""Wifi Beacon Name""]",2025-09-22 07:46:17,1
146,6,68,wrong name,"[""Wifi Beacon Name""]",2025-09-30 11:01:14,1
147,11,81,,"[""Wifi Beacon Created""]",2025-10-09 07:11:54,1
148,12,81,,"[""Wifi Beacon Created""]",2025-10-09 07:53:19,1
149,13,18,,"[""Wifi Beacon Created""]",2025-10-09 11:19:48,1
150,13,18,test,"[""Wifi Beacon Name""]",2025-10-09 11:31:58,1
151,14,18,,"[""Wifi Beacon Created""]",2025-10-13 07:37:20,1
152,15,18,,"[""Wifi Beacon Created""]",2025-10-15 12:32:35,1
153,16,68,,"[""Wifi Beacon Created""]",2025-10-29 00:42:58,1
154,17,68,,"[""Wifi Beacon Created""]",2025-10-29 00:43:38,1
155,18,68,,"[""Wifi Beacon Created""]",2025-10-29 00:44:11,1
156,19,83,,"[""Wifi Beacon Created""]",2025-11-10 03:42:08,1
157,20,83,,"[""Wifi Beacon Created""]",2025-11-13 08:49:12,1
158,21,83,,"[""Wifi Beacon Created""]",2025-11-13 08:49:30,1
159,22,83,,"[""Wifi Beacon Created""]",2025-11-13 08:49:47,1
160,23,83,,"[""Wifi Beacon Created""]",2025-11-13 08:50:07,1
161,20,83,WRONG NAME,"[""Wifi Beacon Name""]",2025-11-13 08:50:40,1
162,24,68,,"[""Wifi Beacon Created""]",2025-11-18 04:52:26,1
163,16,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:11,1
164,17,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:21,1
165,18,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:27,1
166,19,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:37,1
167,20,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:43,1
168,21,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:49,1
169,22,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:54:55,1
170,23,68,change warranty date and duration,"[""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:55:02,1
171,25,68,,"[""Wifi Beacon Created""]",2025-11-18 04:55:34,1
172,24,68,change warranty date and duration,"[""Wifi Beacon Name"",""Warranty Start Date"",""Warranty Duration""]",2025-11-18 04:56:15,1
173,26,68,,"[""Wifi Beacon Created""]",2025-11-18 04:56:47,1
174,26,68,change warranty date and duration,"[""Wifi Beacon Name""]",2025-11-18 04:57:26,1
175,27,68,,"[""Wifi Beacon Created""]",2025-11-18 04:57:52,1
176,28,68,,"[""Wifi Beacon Created""]",2025-11-18 04:58:15,1
177,29,68,,"[""Wifi Beacon Created""]",2025-11-18 04:58:34,1
178,30,68,,"[""Wifi Beacon Created""]",2025-11-18 04:59:12,1
179,31,68,,"[""Wifi Beacon Created""]",2025-11-18 04:59:34,1
180,32,68,,"[""Wifi Beacon Created""]",2025-11-18 04:59:55,1
181,33,68,,"[""Wifi Beacon Created""]",2025-11-18 05:00:26,1
182,34,68,,"[""Wifi Beacon Created""]",2025-11-18 05:00:50,1
183,35,68,,"[""Wifi Beacon Created""]",2025-11-18 05:01:09,1
184,36,68,,"[""Wifi Beacon Created""]",2025-11-18 05:01:30,1
185,37,68,,"[""Wifi Beacon Created""]",2025-11-18 05:04:32,1
186,38,68,,"[""Wifi Beacon Created""]",2025-11-18 05:04:58,1
187,39,68,,"[""Wifi Beacon Created""]",2025-11-18 05:05:14,1
188,40,18,,"[""Wifi Beacon Created""]",2025-11-19 05:31:36,1
189,41,18,,"[""Wifi Beacon Created""]",2025-12-18 09:12:44,1
